Column,Type,Size,Fuzzed,XSS,Token
subscriptions.payment_subscription_url,varchar,2000,True,False,False
subscriptions.payment_user_url,varchar,2000,True,False,False
subscriptions.offer_id,varchar,24,False,False,False
suppressions.id,varchar,24,False,False,False
suppressions.email,varchar,191,True,False,False
suppressions.email_id,varchar,24,False,False,False
suppressions.reason,varchar,50,True,False,False
tags.id,varchar,24,False,False,False
tags.name,varchar,191,True,False,True
tags.slug,varchar,191,True,True,True
tags.feature_image,varchar,2000,True,False,True
tags.parent_id,varchar,191,True,False,False
tags.visibility,varchar,50,True,False,False
tags.og_image,varchar,2000,True,False,True
tags.og_title,varchar,300,True,False,True
tags.og_description,varchar,500,True,False,True
tags.twitter_image,varchar,2000,True,False,True
tags.twitter_title,varchar,300,True,False,True
tags.twitter_description,varchar,500,True,False,True
tags.meta_title,varchar,2000,True,False,True
tags.meta_description,varchar,2000,True,False,True
tags.canonical_url,varchar,2000,True,False,True
tags.accent_color,varchar,50,True,False,False
tags.created_by,varchar,24,False,False,False
tags.updated_by,varchar,24,False,False,False
temp_mail_events.id,varchar,100,True,False,False
temp_mail_events.type,varchar,50,True,False,False
temp_mail_events.message_id,varchar,150,True,False,False
temp_mail_events.recipient,varchar,191,True,False,False
tokens.id,varchar,24,False,False,False
tokens.token,varchar,32,True,False,False
tokens.data,varchar,2000,True,False,False
tokens.created_by,varchar,24,False,False,False
users.id,varchar,24,False,False,False
users.name,varchar,191,True,False,True
users.slug,varchar,191,True,False,False
users.password,varchar,60,True,False,False
users.email,varchar,191,True,False,True
users.profile_image,varchar,2000,True,False,True
users.cover_image,varchar,2000,True,False,False
users.website,varchar,2000,True,False,True
users.facebook,varchar,2000,True,False,True
users.twitter,varchar,2000,True,False,True
users.status,varchar,50,True,False,False
users.locale,varchar,6,False,False,False
users.visibility,varchar,50,True,False,False
users.meta_title,varchar,2000,True,False,False
users.meta_description,varchar,2000,True,False,False
users.created_by,varchar,24,False,False,False
users.updated_by,varchar,24,False,False,False
webhooks.id,varchar,24,False,False,False
webhooks.event,varchar,50,True,False,False
webhooks.target_url,varchar,2000,True,False,False
webhooks.name,varchar,191,True,False,False
webhooks.secret,varchar,191,True,False,False
webhooks.api_version,varchar,50,True,False,False
webhooks.integration_id,varchar,24,False,False,False
webhooks.last_triggered_status,varchar,50,True,False,False
webhooks.last_triggered_error,varchar,50,True,False,False
webhooks.created_by,varchar,24,False,False,False
webhooks.updated_by,varchar,24,False,False,False
